Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,211.74310008063912,432.0,4432.0,-0.04,0.03,0.99,0.67,0.12,-1.4,69.39,70.2,-27.03,1489.4030094146729,-2014.587163925171,266.5223181247711,2.213616155873124,0.6527474653214655,-111.18785994386896
3,313.641200074926,456.0,4447.0,-0.04,0.03,0.99,0.79,0.24,-1.46,70.81,70.56,-28.07,1489.3895387649536,-2014.5878791809082,266.5581405162811,2.2451600876509326,0.5176263177736173,-111.19671142120704
4,415.9859000938013,467.0,4438.0,-0.04,0.03,0.99,0.79,0.18,-1.34,70.81,69.49,-28.07,1489.397644996643,-2014.6152973175049,266.5269672870636,2.2202829970173905,0.5859702937815716,-111.21200325921129
5,518.2844999944791,466.0,4453.0,-0.04,0.03,0.99,0.79,0.18,-1.4,70.28,69.67,-27.55,1489.404559135437,-2014.6160125732422,266.5119469165802,2.2309465749238613,0.6825199284256194,-111.19301066105442
6,621.0466000484303,468.0,4435.0,-0.04,0.03,0.99,0.85,0.18,-1.34,70.99,70.74,-28.58,1489.3879890441895,-2014.5797729492188,266.5514945983887,2.237452233005489,0.540705740560141,-111.20478762885612
7,724.6910000685602,461.0,4403.0,-0.04,0.03,0.99,0.85,0.12,-1.46,70.63,70.74,-28.24,1489.415168762207,-2014.6024227142334,266.5146291255951,2.231911850032498,0.6408089137057341,-111.19115106515258
8,828.7970999954268,474.0,4419.0,-0.04,0.03,0.99,0.73,0.12,-1.34,70.81,69.85,-27.38,1489.4040822982788,-2014.5938396453857,266.5465176105499,2.2523941328824253,0.5119588668573423,-111.19850795359176
9,932.2453000349924,484.0,4434.0,-0.04,0.03,0.99,0.73,0.24,-1.4,69.74,69.49,-28.76,1489.3749952316284,-2014.6076679229736,266.53775572776794,2.2362860575868875,0.5208323753155566,-111.22329400721463
10,1036.037200014107,473.0,4434.0,-0.04,0.03,0.99,0.73,0.24,-1.4,69.74,69.13,-28.07,1489.3921613693237,-2014.6353244781494,266.51984453201294,2.2095914939689036,0.6517642096337852,-111.20153469924443
11,2290.248200064525,474.0,4422.0,-0.04,0.03,0.99,0.79,0.12,-1.28,71.16,70.2,-28.07,1489.416003227234,-2014.6057605743408,266.5063440799713,2.2078205971337455,0.6417118430646098,-111.21420211246448
12,2393.3384000556543,462.0,4428.0,-0.04,0.03,0.99,0.73,0.12,-1.4,69.57,70.03,-26.86,1489.4386529922485,-2014.6067142486572,266.4996385574341,2.2067067913814586,0.6467355059478009,-111.21217505689198
13,2503.716000006534,461.0,4424.0,-0.04,0.03,0.99,0.85,0.12,-1.4,71.16,69.13,-28.76,1489.3921613693237,-2014.5905017852783,266.54690504074097,2.2244954678394953,0.5398445118513561,-111.20904088266673
14,3793.727900017984,464.0,4445.0,-0.04,0.02,0.99,0.67,0.24,-1.34,70.1,69.13,-29.1,1489.410161972046,-2014.817237854004,266.508013010025,2.2357599040402887,0.6503234695127316,-111.1438546216631
15,3897.333300090395,439.0,4448.0,-0.04,0.03,0.99,0.73,0.31,-1.46,67.97,70.2,-28.07,1489.334225654602,-2014.8000717163086,266.4884626865387,2.2476176402605894,0.6868081696631252,-111.11831804766716
16,5299.400800024159,322.0,4432.0,-0.04,0.03,0.99,0.31,0.12,-1.71,70.1,69.85,-28.76,1489.4490242004395,-2014.2083168029785,266.4586901664734,2.2185656104530023,0.6674401649399274,-110.97797404684309
17,5402.960300096311,317.0,4431.0,-0.04,0.03,0.99,0.85,0.37,-1.34,68.86,70.03,-26.52,1489.4917011260986,-2014.3437385559082,266.4046585559845,2.208099156657268,0.6935524072878475,-110.96936790076397
18,6806.149100069888,243.0,4469.0,-0.04,0.03,0.99,0.67,-0.12,-1.4,70.81,69.85,-28.07,1489.0769720077515,-2013.5695934295654,266.51933789253235,2.18161303333527,0.6609651328033868,-111.2437228887378
19,8294.823200092651,230.0,4484.0,-0.04,0.03,0.99,0.73,0.18,-1.4,70.1,71.99,-28.76,1489.0395402908325,-2013.462781906128,266.5606439113617,2.1787054837015467,0.615783648353932,-111.23442783897221
20,8398.309100070037,260.0,4464.0,-0.04,0.03,0.99,0.79,0.12,-1.46,69.92,70.03,-28.93,1489.041805267334,-2013.4828090667725,266.5121555328369,2.1744863105595957,0.6454678977993263,-111.24536179306597
21,8502.063899999484,277.0,4437.0,-0.04,0.03,0.99,0.79,0.12,-1.46,69.57,70.38,-29.62,1489.04287815094,-2013.4785175323486,266.54186844825745,2.180052847051008,0.6726578401973061,-111.23113983187548
22,8605.402000015602,291.0,4429.0,-0.04,0.03,0.99,0.92,0.12,-1.4,70.81,70.56,-27.72,1489.0331029891968,-2013.4878158569336,266.54690504074097,2.1797257987681378,0.6709459301092974,-111.22392545436657
23,8709.024799987674,284.0,4431.0,-0.04,0.03,0.99,0.79,0.12,-1.4,70.28,69.67,-28.58,1489.020824432373,-2013.4682655334473,266.56270027160645,2.1782441276324946,0.6646423619807412,-111.23778519607673
24,9798.93130005803,309.0,4448.0,-0.04,0.03,0.99,0.73,0.24,-1.46,70.99,69.31,-28.93,1489.0435934066772,-2013.4921073913574,266.5347456932068,2.182948551212705,0.6789074321626256,-111.22492052530046
25,11308.227500063367,366.0,4437.0,-0.04,0.03,0.99,0.85,0.18,-1.4,70.1,69.85,-28.41,1488.7964725494385,-2013.1466388702393,266.5334939956665,2.180896037886157,0.7258683234340567,-111.22562395870236
26,11419.208100065589,337.0,4395.0,-0.04,0.03,0.99,0.79,0.12,-1.4,70.28,70.03,-27.55,1488.7843132019043,-2013.068437576294,266.5863335132599,2.182066884474906,0.7167247410734527,-111.21397490857252
27,11522.870099986903,339.0,4397.0,-0.04,0.03,0.99,0.85,0.18,-1.4,70.63,68.6,-28.24,1488.7974262237549,-2013.0958557128906,266.5388882160187,2.1627970912601686,0.7084977511057078,-111.23692555692607
28,11626.665899995714,350.0,4418.0,-0.04,0.03,0.99,0.79,0.18,-1.53,71.52,70.2,-29.1,1488.7957572937012,-2013.1361484527588,266.5150463581085,2.1715847475201513,0.748785542169305,-111.23875756140887
29,11730.50000006333,364.0,4431.0,-0.04,0.03,0.99,0.79,0.12,-1.46,70.63,69.67,-28.58,1488.7815713882446,-2013.0879878997803,266.5729224681854,2.187335483667367,0.6758674731582439,-111.21898810137463
