Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.90999996848404,483.0,933.0,-0.04,0.03,0.98,0.85,0.06,-1.34,78.26,48.05,-43.57,1449.286937713623,1520.5312967300415,252.8100311756134,2.282694336652591,-0.13652082725929032,140.10828708411628
3,204.9985999474302,487.0,957.0,-0.04,0.03,0.98,0.85,0.06,-1.34,78.44,48.23,-43.05,1449.2878913879395,1520.5503702163696,252.82660126686096,2.283287971187999,-0.1367458436377196,140.1027383650392
4,307.8504999866709,98.0,957.0,-0.04,0.02,0.98,0.79,0.06,-1.4,78.8,49.3,-42.02,1449.3076801300049,1520.5647945404053,252.79274582862854,2.2809735687903916,-0.12741360613272698,140.09001280570124
5,411.571400007233,467.0,917.0,-0.04,0.02,0.98,0.79,0.12,-1.34,80.39,49.13,-43.22,1449.2915868759155,1520.540475845337,252.84335017204285,2.274925125124582,-0.11693442059478201,140.10484937227977
6,516.8871999485418,469.0,932.0,-0.04,0.03,0.98,0.85,0.06,-1.34,79.68,48.41,-43.91,1449.285626411438,1520.538091659546,252.81497836112976,2.2722824810604427,-0.10224532925162504,140.0989870501529
7,620.44959992636,478.0,921.0,-0.04,0.03,0.98,0.79,0.06,-1.34,78.09,49.3,-43.39,1449.2738246917725,1520.5309391021729,252.82922387123108,2.283523968930292,-0.14115310476521298,140.09621089404325
8,723.7249999307096,457.0,894.0,-0.04,0.03,0.98,0.85,0.06,-1.34,78.8,48.95,-43.74,1449.296236038208,1520.5447673797607,252.82740592956543,2.274287361566785,-0.12329352715379441,140.0943502449941
9,826.9884999608621,470.0,943.0,-0.04,0.03,0.98,0.79,0.0,-1.46,78.44,48.59,-43.05,1449.3112564086914,1520.5302238464355,252.8219223022461,2.270474985290716,-0.10506011807984547,140.11115762562937
10,931.3902999274433,515.0,962.0,-0.04,0.03,0.98,0.73,0.0,-1.34,79.68,49.48,-42.88,1449.3024349212646,1520.5413103103638,252.81280279159546,2.2766704382067733,-0.09738107956168882,140.10598324801776
11,1035.2246999973431,509.0,964.0,-0.04,0.03,0.98,0.85,0.06,-1.34,79.15,48.23,-43.74,1449.302315711975,1520.5554962158203,252.8134286403656,2.2786972973521076,-0.12446972794264682,140.10790969639126
12,1137.9364000167698,507.0,924.0,-0.04,0.02,0.98,0.79,0.06,-1.46,80.92,47.88,-43.05,1449.3001699447632,1520.542860031128,252.7986466884613,2.292116350090944,-0.13386023734598898,140.10436709265292
13,1241.0432000178844,504.0,956.0,-0.04,0.03,0.98,0.92,0.06,-1.34,77.73,48.59,-43.39,1449.2846727371216,1520.5329656600952,252.8255581855774,2.2789574278549387,-0.10219962384253821,140.09222380487205
14,1345.428099972196,487.0,928.0,-0.04,0.03,0.98,0.79,0.12,-1.46,78.26,48.05,-42.19,1449.3272304534912,1520.524501800537,252.82034277915955,2.282072611750406,-0.13882191548831088,140.14139258389
15,1449.2785999318585,477.0,943.0,-0.04,0.02,0.98,0.92,0.06,-1.34,77.55,48.41,-42.19,1449.3498802185059,1520.5458402633667,252.79858708381653,2.2782495801262996,-0.10947403834591178,140.1353942945029
16,1552.3581999586895,507.0,943.0,-0.04,0.02,0.98,0.92,0.0,-1.28,79.33,47.7,-41.5,1449.2915868759155,1520.5515623092651,252.8184950351715,2.2776602248552704,-0.11681205933473669,140.09694651240966
17,1654.2929999995977,482.0,936.0,-0.04,0.03,0.98,0.73,0.06,-1.34,78.97,49.48,-43.22,1449.2870569229126,1520.5488204956055,252.81491875648499,2.282418708724314,-0.10937771356579529,140.10057510679698
18,1757.3231999995187,495.0,983.0,-0.04,0.03,0.98,0.92,-0.06,-1.34,77.91,49.48,-42.19,1449.2952823638916,1520.5488204956055,252.81044840812683,2.286022086090113,-0.13220243973507056,140.10970156453658
19,1861.8898999411613,520.0,977.0,-0.04,0.03,0.98,0.92,0.06,-1.34,77.2,49.84,-43.22,1449.2977857589722,1520.5609798431396,252.81527638435364,2.280347635806309,-0.1348474250779547,140.10611200814907
20,3525.410700007342,499.0,976.0,-0.04,0.03,0.98,0.85,0.12,-1.34,78.62,49.84,-43.91,1449.3308067321777,1520.5292701721191,252.82201170921326,2.277115908498255,-0.12600628289486163,140.13829125959703
21,3628.8073000032455,500.0,972.0,-0.04,0.03,0.98,0.92,0.12,-1.34,77.73,49.3,-44.08,1449.3199586868286,1520.5233097076416,252.8209388256073,2.26639619282521,-0.13258901466684037,140.14858781684356
22,4021.416899980977,494.0,974.0,-0.04,0.03,0.99,0.85,0.06,-1.34,77.2,48.77,-42.53,1449.3348598480225,1520.5310583114624,252.80806422233582,2.275859340114567,-0.1511051941085958,140.1355123641232
23,4125.187799916603,502.0,959.0,-0.04,0.02,0.98,0.92,0.06,-1.28,78.44,48.23,-42.36,1449.3354558944702,1520.5329656600952,252.79882550239563,2.2778201485543774,-0.1311511924532529,140.1473264905309
24,4530.472400016151,500.0,944.0,-0.04,0.02,0.98,0.79,0.12,-1.4,77.91,48.41,-43.57,1449.306845664978,1520.5516815185547,252.8102993965149,2.2758097239201853,-0.09660205908013174,140.09896066320982
25,4743.151000002399,485.0,948.0,-0.04,0.02,0.98,0.85,0.0,-1.34,78.09,49.66,-41.67,1449.3074417114258,1520.54762840271,252.8018057346344,2.292091195507831,-0.12022919647437293,140.1022370189317
26,4845.973299932666,480.0,957.0,-0.04,0.02,0.98,0.79,0.06,-1.4,78.8,46.8,-43.74,1449.3309259414673,1520.5267667770386,252.81229615211487,2.276248331549908,-0.13042799739515254,140.13584817821624
27,4948.848699918017,470.0,946.0,-0.04,0.03,0.98,0.92,0.06,-1.4,78.44,49.66,-43.39,1449.2981433868408,1520.534873008728,252.8133988380432,2.279173194640138,-0.12899966552254297,140.09842609456248
28,6027.859100024216,511.0,939.0,-0.04,0.03,0.98,0.79,0.18,-1.34,76.84,49.84,-44.94,1449.3263959884644,1520.5199718475342,252.80240178108215,2.273604194576013,-0.11299170456317613,140.14175401116646
29,6130.600199918263,494.0,947.0,-0.04,0.03,0.98,0.79,0.06,-1.4,76.67,48.59,-41.67,1449.291467666626,1520.5684900283813,252.80529260635376,2.280840622036647,-0.1045084653467918,140.10287114396667
30,6235.932999989018,497.0,941.0,-0.04,0.02,0.98,0.79,0.06,-1.46,77.73,49.66,-42.7,1449.364185333252,1520.5504894256592,252.79578566551208,2.277678747421364,-0.15007872886280993,140.13935045341938
31,6685.307999956422,480.0,939.0,-0.04,0.02,0.98,0.92,0.06,-1.34,78.44,49.3,-43.74,1449.3013620376587,1520.5516815185547,252.80895829200745,2.285147619627374,-0.13854089371623227,140.09848228173092
32,7092.694199993275,504.0,961.0,-0.04,0.03,0.98,0.92,0.06,-1.28,77.91,48.41,-43.57,1449.352502822876,1520.5234289169312,252.80985236167908,2.278688883872632,-0.13726590990068466,140.14482695843597
33,7505.431399913505,505.0,947.0,-0.04,0.02,0.98,0.79,0.06,-1.4,79.15,48.95,-41.67,1449.3581056594849,1520.5285549163818,252.7984082698822,2.2793496353936744,-0.1187902950439623,140.14391270661883
34,8014.501099940389,496.0,922.0,-0.04,0.03,0.98,0.92,0.0,-1.28,78.26,48.41,-43.22,1449.3080377578735,1520.5434560775757,252.81250476837158,2.2824612841589924,-0.13461108178153075,140.09845713819564
35,8118.340999935754,490.0,923.0,-0.04,0.03,0.98,0.85,0.06,-1.34,77.91,48.77,-43.22,1449.3497610092163,1520.5421447753906,252.79167294502258,2.286874071781981,-0.1493314589930874,140.1413160538245
36,8736.611199914478,503.0,978.0,-0.04,0.02,0.98,0.85,0.06,-1.4,78.62,48.41,-43.22,1449.3345022201538,1520.5330848693848,252.81059741973877,2.279288523304388,-0.15130820263090133,140.1448576681391
37,9243.392399977893,517.0,963.0,-0.04,0.03,0.98,0.79,0.0,-1.4,78.44,47.88,-43.05,1449.3343830108643,1520.52640914917,252.8088092803955,2.278344226915901,-0.13119129598172277,140.1402942090305
38,9346.384899923578,509.0,961.0,-0.04,0.03,0.98,0.67,0.0,-1.34,78.44,49.66,-42.36,1449.2950439453125,1520.5503702163696,252.8170347213745,2.283951408684342,-0.10236359647436846,140.1035028429072
39,9449.416199931875,508.0,964.0,-0.04,0.03,0.98,0.85,0.0,-1.34,79.15,48.95,-43.74,1449.3434429168701,1520.5274820327759,252.81167030334473,2.2830269021020464,-0.15669279168518604,140.149452039904
40,10531.711700023152,486.0,916.0,-0.04,0.03,0.98,0.73,0.06,-1.34,79.15,48.95,-42.7,1449.3411779403687,1520.5332040786743,252.81167030334473,2.2833428877159547,-0.1311135182823455,140.1379531100366
41,10634.618200012483,477.0,901.0,-0.04,0.03,0.98,0.85,0.0,-1.28,77.73,47.88,-43.39,1449.2988586425781,1520.5515623092651,252.8020739555359,2.2903454905738445,-0.14360162372323104,140.096517184831
42,10739.907899987884,476.0,893.0,-0.04,0.02,0.98,0.98,0.12,-1.34,77.55,49.84,-44.6,1449.3145942687988,1520.5585956573486,252.8054118156433,2.285663985921925,-0.1350091078183437,140.0950635247911
43,10842.161300010048,480.0,893.0,-0.04,0.03,0.98,0.85,0.06,-1.34,77.38,49.66,-43.05,1449.3037462234497,1520.555019378662,252.80815362930298,2.2845083815132075,-0.12593769614576128,140.10419105430546
44,10989.44739997387,481.0,917.0,-0.04,0.02,0.98,0.79,0.06,-1.46,78.62,49.84,-42.88,1449.341893196106,1520.539402961731,252.80407071113586,2.277030594290297,-0.1284142363233597,140.1384718242675
45,11092.686699936166,487.0,927.0,-0.04,0.03,0.98,0.92,0.0,-1.28,78.8,49.3,-43.05,1449.290156364441,1520.5386877059937,252.81530618667603,2.2860648952265046,-0.1415199716457158,140.09704921299945
46,13520.778100006282,503.0,961.0,-0.04,0.03,0.98,0.79,0.0,-1.34,78.8,47.52,-43.05,1449.3403434753418,1520.5445289611816,252.80138850212097,2.2867295026711667,-0.14142379353380233,140.1393910163162
47,13624.197999946773,429.0,869.0,-0.04,0.03,0.98,0.79,0.18,-1.4,78.09,48.59,-42.36,1449.3522644042969,1520.5446481704712,252.80198454856873,2.2773698022243973,-0.10104511216744642,140.1357861395143
48,13728.68419997394,453.0,901.0,-0.04,0.03,0.98,0.73,0.12,-1.4,78.97,49.13,-43.91,1449.3396282196045,1520.5268859863281,252.8097629547119,2.286897463348976,-0.14544393374818274,140.13960829914234
49,13832.226399914362,466.0,923.0,-0.04,0.03,0.98,0.79,0.0,-1.34,77.73,49.3,-42.36,1449.2994546890259,1520.547866821289,252.81226634979248,2.287116517146551,-0.1288400599193771,140.09776208866344
50,13935.40810002014,480.0,925.0,-0.04,0.02,0.98,0.85,0.0,-1.4,80.21,49.3,-42.7,1449.303388595581,1520.5504894256592,252.81229615211487,2.2809508337467284,-0.13670067850552625,140.10516697898353
51,14038.54500001762,477.0,938.0,-0.04,0.03,0.98,0.85,0.06,-1.4,78.62,49.13,-42.53,1449.3458271026611,1520.5217599868774,252.79587507247925,2.28150118778611,-0.11870246439475352,140.13639783986378
52,14141.346400021575,485.0,952.0,-0.04,0.02,0.98,0.79,0.0,-1.34,78.62,49.13,-42.88,1449.3393898010254,1520.5190181732178,252.8163194656372,2.274468296567722,-0.14770133073240663,140.145158066669
53,14364.056000020355,505.0,959.0,-0.04,0.02,0.98,0.85,0.06,-1.28,79.68,48.41,-43.22,1449.3272304534912,1520.5268859863281,252.8042197227478,2.2780361996362846,-0.149956593369305,140.13622665195544
54,14467.391600017436,517.0,959.0,-0.04,0.03,0.98,0.85,0.0,-1.34,78.44,48.23,-43.74,1449.3019580841064,1520.533561706543,252.80064344406128,2.2873472628534355,-0.1439481525291934,140.10594692193573
55,14695.088499924168,490.0,906.0,-0.04,0.03,0.98,0.85,0.06,-1.34,78.8,47.52,-42.7,1449.3316411972046,1520.5118656158447,252.80708074569702,2.2768742194311216,-0.11972379898003693,140.14475994334688
56,14798.265699995682,509.0,919.0,-0.04,0.03,0.98,0.85,0.06,-1.4,79.33,48.41,-42.88,1449.299693107605,1520.5719470977783,252.78890132904053,2.281233154568622,-0.13872657498167615,140.1042900113772
57,14902.884199982509,509.0,930.0,-0.04,0.03,0.98,0.92,0.06,-1.4,78.8,48.23,-43.05,1449.352741241455,1520.5328464508057,252.79778242111206,2.275896030526937,-0.11367850431553815,140.1481595636124
58,15005.986499949358,510.0,938.0,-0.04,0.03,0.98,0.85,0.06,-1.34,77.73,48.95,-42.36,1449.3199586868286,1520.5307006835938,252.82013416290283,2.275612314637248,-0.12694528988004913,140.14510121998126
59,16035.520599922165,487.0,964.0,-0.04,0.03,0.98,0.85,0.0,-1.34,79.51,47.88,-42.02,1449.3284225463867,1520.52640914917,252.81330943107605,2.273863665028011,-0.10804336250905332,140.1400421165588
60,16229.014999931678,486.0,956.0,-0.04,0.03,0.98,0.92,0.06,-1.46,77.2,48.77,-43.91,1449.3006467819214,1520.551085472107,252.80889868736267,2.286588339727951,-0.12887787304002973,140.0994740690292
61,16331.95539994631,483.0,948.0,-0.04,0.03,0.98,0.85,0.0,-1.34,77.91,48.77,-42.19,1449.3439197540283,1520.5522775650024,252.79441475868225,2.286844258099269,-0.13379668373597536,140.13977285203833
62,16444.644299917854,494.0,950.0,-0.04,0.03,0.98,0.85,0.06,-1.34,77.55,47.34,-43.22,1449.3281841278076,1520.5399990081787,252.80454754829407,2.272907587618735,-0.12676037041080102,140.15351991112263
63,16548.682400025427,493.0,961.0,-0.04,0.03,0.98,0.98,0.0,-1.4,78.62,48.77,-42.88,1449.344515800476,1520.5459594726562,252.7974545955658,2.281048180237599,-0.14346895370771634,140.14252618985128
64,16654.079500003718,482.0,932.0,-0.04,0.03,0.98,0.92,0.06,-1.4,78.44,49.66,-43.39,1449.2900371551514,1520.5498933792114,252.81411409378052,2.2796887292521313,-0.10951465260448874,140.10142187355981
65,16757.785300025716,497.0,956.0,-0.04,0.03,0.98,0.79,0.0,-1.34,79.33,48.41,-43.57,1449.335217475891,1520.5260515213013,252.8066635131836,2.2768620983812196,-0.11719780126548184,140.14320960891993
66,16948.91259993892,506.0,944.0,-0.04,0.02,0.98,0.85,0.0,-1.4,79.33,49.84,-44.94,1449.339747428894,1520.5289125442505,252.81450152397156,2.288885028753219,-0.1172628410301964,140.14529363495097
67,17257.60619994253,503.0,957.0,-0.04,0.02,0.98,0.85,0.06,-1.34,77.91,49.13,-42.88,1449.2740631103516,1520.5330848693848,252.82704830169678,2.2797906881393994,-0.11557728123429548,140.10448323428946
