Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.92770000139717,1522.0,4086.0,-0.04,0.02,0.98,1.04,0.12,-1.53,41.7,20.9,-7.4,-359.27513241767883,1627.8784275054932,249.30201470851898,-1.7893200242968215,1.3233420785810588,42.6938889214608
3,205.52610000049754,1514.0,4114.0,-0.04,0.02,0.98,0.98,0.18,-1.53,44.01,19.65,-6.89,-359.2705428600311,1627.882480621338,249.30310249328613,-1.78617171951156,1.3516133661620264,42.69828965725999
4,309.1929000001983,1530.0,4043.0,-0.04,0.02,0.98,0.98,0.18,-1.65,42.77,20.9,-7.06,-359.2638969421387,1627.8787851333618,249.29720163345337,-1.7876519089825276,1.3310282510276072,42.70007880573704
5,413.35780000008526,1522.0,4042.0,-0.04,0.02,0.98,0.85,0.12,-1.59,40.82,21.08,-7.92,-359.3101501464844,1627.8822422027588,249.265655875206,-1.8049922571144157,1.3033577030842765,42.70959387870676
6,518.0669000001217,1534.0,4081.0,-0.04,0.02,0.98,0.92,0.06,-1.65,42.59,20.01,-6.54,-359.46911573410034,1627.989649772644,249.2247223854065,-1.8214589773581653,1.4726068185774635,42.777955723208756
7,622.4248000016814,1520.0,4062.0,-0.04,0.02,0.98,0.79,0.18,-1.59,42.06,18.76,-7.75,-359.2890501022339,1627.8800964355469,249.2751032114029,-1.8113430800574168,1.2683334302505367,42.717380362586084
8,726.3588000005257,1525.0,4076.0,-0.04,0.02,0.98,0.98,0.24,-1.59,42.06,19.83,-8.78,-359.46911573410034,1627.9857158660889,249.2082715034485,-1.8226591743670801,1.4752024093480738,42.77751763086096
9,831.3912000012351,1524.0,4084.0,-0.04,0.02,0.98,0.85,0.06,-1.59,42.06,21.26,-8.44,-359.31581258773804,1627.8856992721558,249.26571547985077,-1.811187139871179,1.2641605879131028,42.71148800433977
10,935.1965000005293,1521.0,4051.0,-0.04,0.02,0.98,0.92,0.12,-1.59,40.82,20.36,-7.23,-359.3028485774994,1627.8823614120483,249.28639829158783,-1.7913734372073935,1.3408175053985105,42.70166119064369
11,1039.3813000009686,1533.0,4026.0,-0.04,0.02,0.98,0.92,0.12,-1.65,42.06,20.19,-8.44,-359.28285121917725,1627.874732017517,249.28094446659088,-1.7816873169989433,1.3167144513493168,42.704122169945585
12,1141.8390000017098,1521.0,4057.0,-0.04,0.02,0.98,0.98,0.24,-1.53,42.41,20.19,-7.06,-359.27167534828186,1627.8811693191528,249.29669499397278,-1.781626151919132,1.3384746032385628,42.70216427212299
