Sample;Time (ms);ESP32_X;ESP32_Y;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.4576;2130;2706;-0.04;0.02;0.98;0.92;0.12;-1.59;61.76;-2.5;-4.48;315.808028;412.042737;251.0048449;-2.357014038;1.141561146;59.28938693
3;205.2465;2171;2801;-0.04;0.02;0.98;0.98;0.06;-1.53;63.18;-3.93;-4.13;315.8076406;412.0385349;251.0083914;-2.357372616;1.138847169;59.28787672
4;309.1262;2150;2686;-0.04;0.02;0.98;0.92;0.12;-1.59;62.11;-4.64;-3.44;315.8047795;412.047863;251.0027289;-2.358346717;1.15235699;59.28599528
5;414.6929;2210;2830;-0.04;0.02;0.98;0.85;0.18;-1.59;61.58;-3.04;-3.62;315.8174455;412.0404124;251.0201931;-2.359942936;1.125462066;59.29013681
6;518.2782;2179;2706;-0.04;0.02;0.98;0.98;0.24;-1.65;61.05;-3.93;-4.82;315.8128262;412.0403826;251.0098219;-2.352844196;1.131809624;59.28808463
7;622.56;2177;2677;-0.04;0.02;0.98;0.98;0.12;-1.59;63.36;-2.68;-3.96;315.8112764;412.0468795;251.0097325;-2.360841701;1.129525219;59.29098395
8;726.5435;2169;2640;-0.04;0.02;0.97;0.92;0.18;-1.46;62.65;-4.47;-5.34;315.8270121;412.0430648;251.0112524;-2.357514764;1.144446489;59.28783677
9;1246.3349;2193;2716;-0.04;0.02;0.98;0.98;0.12;-1.59;61.58;-4.47;-3.62;315.8062398;412.0388627;251.0023415;-2.35998471;1.137903136;59.2858851
10;1350.334;2185;2697;-0.04;0.02;0.98;0.98;0.18;-1.59;62.29;-3.75;-4.65;315.8102632;412.0452702;251.0087192;-2.358426385;1.128259661;59.28858165
11;1455.1577;2186;2682;-0.04;0.02;0.98;0.92;0.18;-1.46;61.4;-3.22;-4.82;315.8146441;412.0416045;251.010716;-2.358072601;1.142042591;59.28926723
12;1558.9526;2192;2681;-0.04;0.02;0.98;0.98;0.18;-1.59;62.29;-3.75;-3.96;315.8260584;412.0391905;251.0115802;-2.355409077;1.091204181;59.28457202
13;1662.221;2177;2685;-0.04;0.02;0.98;0.92;0.12;-1.59;61.4;-4.64;-4.48;315.8222735;412.0398164;251.0037124;-2.352302247;1.158336657;59.28573937
14;1801.1961;2170;2665;-0.04;0.02;0.98;0.98;0.18;-1.59;62.11;-3.57;-3.79;315.8189952;412.0421708;251.018554;-2.35583347;1.133573526;59.28948285
15;1904.6353;2175;2677;-0.04;0.02;0.98;0.85;0.12;-1.46;62.47;-3.22;-4.82;315.8054054;412.0450616;251.0114908;-2.353313602;1.137665049;59.28350183
16;2009.0362;2181;2694;-0.04;0.02;0.98;0.98;0.12;-1.65;62.29;-4.11;-5.34;315.8098459;412.0393097;251.0029972;-2.357923024;1.164065624;59.28669569
17;2112.7331;2168;2692;-0.04;0.02;0.98;0.92;0.24;-1.59;62.11;-2.86;-4.48;315.8151507;412.0411277;251.0163188;-2.364466389;1.129051535;59.29059921
