Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.73500000382774,2068.0,2259.0,68.0,0.02,-0.04,-1.0,-0.16,0.29,-0.1,134.77,135.21,-16.99,29.811838641762733,-8.019744418561459,226.93201899528503,-0.9245986319480952,-1.3485316761189414,-148.7945600616352
3,206.12200000323355,2081.0,2281.0,72.0,0.03,-0.04,-1.0,-0.28,0.29,0.08,135.94,131.69,-16.99,29.809141531586647,-8.020557463169098,226.93167626857758,-0.927355631567451,-1.3573302058953494,-148.79501585314017
4,310.52919999638107,2045.0,2283.0,62.0,0.03,-0.04,-1.0,-0.22,0.04,-0.22,134.77,136.39,-16.99,29.812011867761612,-8.028545416891575,226.93821787834167,-0.9262508395264792,-1.359084807339549,-148.79130127376087
5,414.2903000029037,2053.0,2255.0,71.0,0.02,-0.04,-0.99,0.09,0.29,0.08,137.11,132.86,-16.99,29.86699715256691,-7.979890331625938,226.93903744220734,-0.9156459620209588,-1.3286865414334428,-148.72012372543267
6,517.9636999964714,2057.0,2293.0,65.0,0.03,-0.04,-0.99,0.02,-0.08,-0.1,135.94,134.04,-18.12,29.812371358275414,-8.021770976483822,226.93024575710297,-0.9207721483843634,-1.35225366503531,-148.79428377989348
7,622.0241999981226,2049.0,2282.0,67.0,0.02,-0.04,-1.0,0.02,0.29,0.2,134.77,132.86,-16.99,29.817625880241394,-8.020428009331226,226.92778706550598,-0.9262922511752093,-1.359173336857323,-148.79132291361108
8,726.6765999956988,2078.0,2298.0,61.0,0.03,-0.04,-1.0,-0.46,-0.02,0.02,135.94,132.86,-19.26,29.849614948034286,-8.027142845094204,226.9670069217682,-0.8896727180503706,-1.247702297968853,-148.77385462081517
9,831.1129999929108,2067.0,2306.0,63.0,0.02,-0.04,-0.99,-0.16,0.41,0.08,137.11,135.21,-16.99,29.852358624339104,-8.029882796108723,226.9643396139145,-0.8948456221217406,-1.2536603033109464,-148.7721560350117
10,934.6283999911975,2061.0,2276.0,71.0,0.03,-0.04,-0.99,-0.1,0.29,0.02,134.77,131.69,-16.99,29.859161004424095,-8.032594807446003,226.9667685031891,-0.8942955678289806,-1.2470927822161568,-148.77145854009487
11,1965.2976999932434,2071.0,2246.0,64.0,0.02,-0.04,-0.99,-0.16,0.23,0.2,137.11,132.86,-15.86,29.86222319304943,-7.979335263371468,226.93563997745514,-0.9190622783129441,-1.3253352794566557,-148.72365418547128
