Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.57079999953567,1630.0,1214.0,-0.04,0.02,0.98,0.92,0.18,-1.59,53.77,53.41,-26.35,-355.10486364364624,-1268.112301826477,252.2234320640564,-1.8972211258642198,1.9860780351673655,53.141685782194365
3,204.75589999932708,1639.0,1220.0,-0.04,0.02,0.98,0.98,0.12,-1.59,54.3,53.59,-26.52,-355.10754585266113,-1268.11683177948,252.21163034439087,-1.8992919839016262,1.975462235187573,53.14855963142282
4,308.7411999995311,1637.0,1236.0,-0.04,0.02,0.98,0.92,0.18,-1.53,54.48,52.7,-26.35,-355.10584712028503,-1268.1138515472412,252.22322344779968,-1.897753596832429,1.9794027986043736,53.14486390234786
5,412.3985999995057,1639.0,1249.0,-0.04,0.02,0.98,0.92,0.18,-1.65,54.13,54.13,-25.66,-355.11159896850586,-1268.103003501892,252.21553444862366,-1.8904480700007302,1.9822063427172585,53.14721136128479
6,515.9172999992734,1638.0,1187.0,-0.04,0.02,0.98,0.85,0.12,-1.71,55.01,54.31,-24.45,-355.1064133644104,-1268.1111097335815,252.21189856529236,-1.9023142177361758,1.9833532288529176,53.14572230202547
7,619.4153999995251,1653.0,1228.0,-0.04,0.02,0.98,0.98,0.18,-1.71,54.13,53.41,-27.03,-355.106383562088,-1268.108606338501,252.22241878509521,-1.900253070872701,1.9854917056788084,53.14703540206351
8,722.4065999998857,1641.0,1253.0,-0.04,0.02,0.98,0.85,0.12,-1.65,53.77,54.13,-26.35,-355.103462934494,-1268.1069374084473,252.22060084342957,-1.8954287713351845,1.9919184653081152,53.14567909572272
9,826.0316999994757,1631.0,1183.0,-0.04,0.02,0.98,0.98,0.18,-1.53,53.95,53.95,-27.21,-355.0945520401001,-1268.1095600128174,252.21437215805054,-1.8914760681178544,1.9938534986126493,53.13590161580806
10,929.5149999998102,1644.0,1230.0,-0.04,0.02,0.98,1.04,0.18,-1.65,55.01,52.52,-26.86,-355.10897636413574,-1268.113613128662,252.21532583236694,-1.8928889142461374,1.9713209200731414,53.145633010818194
11,1041.8188999992708,1643.0,1209.0,-0.04,0.02,0.98,0.92,0.24,-1.65,53.95,53.23,-26.86,-355.10772466659546,-1268.1140899658203,252.21264362335205,-1.8985169262025712,1.9915617688621996,53.14213586334342
12,1145.2997999995205,1645.0,1225.0,-0.04,0.02,0.98,0.92,0.12,-1.65,56.08,52.16,-27.21,-355.1024794578552,-1268.1111097335815,252.20417976379395,-1.895522742948111,1.976246757071965,53.14430445729547
13,1247.5991999999678,1648.0,1226.0,-0.04,0.02,0.98,0.92,0.18,-1.59,55.37,53.95,-26.86,-355.09470105171204,-1268.104910850525,252.21630930900574,-1.8879558024742042,2.0061888382145927,53.1354862922511
14,3074.800399999731,1628.0,1226.0,-0.04,0.02,0.98,0.98,0.12,-1.53,54.13,53.77,-26.69,-355.1037907600403,-1268.1149244308472,252.21851468086243,-1.8988383606827834,1.9834549226372715,53.146106501359924
15,3178.5712000000785,1622.0,1183.0,-0.04,0.02,0.98,0.98,0.12,-1.65,53.59,54.31,-26.52,-355.1168143749237,-1268.101692199707,252.21765041351318,-1.8959828182042537,1.9842472912107456,53.1395991013175
16,3281.921499999953,1624.0,1206.0,-0.04,0.02,0.98,0.85,0.18,-1.59,55.19,53.77,-26.69,-355.11961579322815,-1268.1174278259277,252.19500064849854,-1.893537032823458,1.9925996093061855,53.14338367157242
17,3385.1025999993,1628.0,1240.0,-0.04,0.02,0.98,0.92,0.24,-1.65,54.48,52.7,-27.03,-355.0844192504883,-1268.1089639663696,252.22593545913696,-1.895932990117473,1.9960714617341213,53.13694260148307
18,3488.4996000000683,1628.0,1213.0,-0.04,0.02,0.98,1.04,0.18,-1.65,54.13,54.48,-27.03,-355.1081717014313,-1268.1001424789429,252.21771001815796,-1.9013766499960523,1.994317503261584,53.14478314963046
19,3701.516399999491,1630.0,1215.0,-0.04,0.02,0.98,1.04,0.12,-1.59,55.01,53.95,-26.52,-355.106383562088,-1268.1082487106323,252.21660733222961,-1.9003290402636415,1.9791064030228005,53.143601247276315
20,3805.114099999628,1641.0,1231.0,-0.04,0.02,0.98,0.85,0.18,-1.59,53.95,54.31,-27.55,-355.0989329814911,-1268.1128978729248,252.21598148345947,-1.8954723637922444,1.9778357382768332,53.145189737208966
21,3906.574499999806,1636.0,1236.0,-0.04,0.02,0.98,0.98,0.18,-1.59,53.24,54.31,-25.48,-355.1129400730133,-1268.121600151062,252.19792127609253,-1.9035290786329835,1.977140741999329,53.13741403390261
22,4009.7846999997273,1650.0,1244.0,-0.04,0.02,0.98,0.98,0.12,-1.65,56.08,55.02,-27.21,-355.1020920276642,-1268.1183815002441,252.2161900997162,-1.8982315960738334,1.9817399984771458,53.14449370485594
23,4113.338600000134,1648.0,1227.0,-0.04,0.02,0.98,0.85,0.12,-1.65,54.84,53.41,-26.69,-355.1062345504761,-1268.117904663086,252.21571326255798,-1.900133762064492,1.9816753286866948,53.14631519550363
