Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.825;1569;549;86;0.02;-0.03;-1.01;48.85;-37.8;-0.77;62.11;64.67;-9.06;-524.8629451;-1927.467942;232.616514;-1.276603415;-1.233635322;46.47647461
3;204.936;1441;549;78;0.02;-0.03;-0.92;-15.97;-8.32;-8.34;86.72;49.38;5.66;-524.8546004;-1927.469254;232.5983495;-1.269115029;-1.236753743;46.47301406
4;307.8171;1457;554;72;0.02;-0.03;-1;-0.28;0.23;0.08;84.37;51.73;6.8;-524.84411;-1927.450061;232.6216549;-1.268988279;-1.239542218;46.47066298
5;411.8499;1462;554;73;0.02;-0.03;-1;-0.16;0.23;-0.04;85.55;55.26;4.53;-524.8540044;-1927.455068;232.6263934;-1.263575388;-1.246340337;46.48114944
6;516.0224;1430;557;70;0.02;-0.03;-1;-0.04;0.41;0.02;87.89;51.73;5.66;-524.8554349;-1927.479506;232.6044589;-1.267703621;-1.228085215;46.46753444
7;620.2565;1430;554;78;0.01;-0.03;-0.99;0.02;0.23;0.02;87.89;51.73;2.27;-524.8538256;-1927.449822;232.6075584;-1.265547314;-1.256525127;46.47464711
8;724.0889;1441;602;79;0.02;-0.03;-0.99;-0.16;0.29;0.14;84.37;51.73;7.93;-524.8550177;-1927.460551;232.5959951;-1.272845775;-1.276798728;46.46655788
9;827.5733;1456;598;72;0.01;-0.03;-0.99;-0.46;0.29;0.26;84.37;52.91;3.4;-524.8436332;-1927.467704;232.6033413;-1.274279628;-1.277627675;46.47499157
10;932.2737;1447;552;80;0.01;-0.03;-0.99;-0.22;0.35;0.02;85.55;51.73;4.53;-524.8272419;-1927.450061;232.6150537;-1.273121257;-1.271233423;46.47072607
11;1036.0433;1460;569;75;0.01;-0.03;-1;-0.16;0.29;0.14;86.72;52.91;5.66;-524.8362422;-1927.453399;232.6012403;-1.268870656;-1.242851852;46.47681602
12;1140.9508;1451;561;73;0.01;-0.03;-1;-0.1;0.04;0.02;89.06;51.73;6.8;-524.8453021;-1927.466273;232.6124161;-1.265620397;-1.238790792;46.48397438
13;1245.1889;1427;540;71;0.01;-0.03;-1;-0.28;0.47;0.02;86.72;54.09;3.4;-524.8515606;-1927.473187;232.6150984;-1.270153357;-1.238119258;46.47751735
14;1350.4214;1439;522;73;0.02;-0.03;-1;0.02;0.29;0.14;87.89;52.91;3.4;-524.8439908;-1927.462101;232.5995415;-1.266552349;-1.238666366;46.47844342
15;1454.6703;1432;576;73;0.01;-0.03;-1;-0.04;0.35;-0.04;87.89;51.73;5.66;-524.8475075;-1927.453399;232.6182574;-1.274373476;-1.238399173;46.47742116
16;1557.8363;1463;527;76;0.02;-0.03;-1;-0.4;-0.08;0.02;86.72;52.91;3.4;-524.8328447;-1927.463055;232.6086015;-1.272449534;-1.275409354;46.4734902
17;1660.8208;1460;571;76;0.02;-0.03;-1;-0.22;0.29;-0.04;87.89;51.73;4.53;-524.8661041;-1927.464843;232.5873375;-1.273082243;-1.2656592;46.4717616
18;1764.7556;1458;583;76;0.01;-0.03;-1;-0.16;0.11;0.2;87.89;51.73;4.53;-524.8757005;-1927.465796;232.6019108;-1.264288084;-1.251068589;46.47056201
19;1868.6323;1451;599;81;0.02;-0.03;-1;-0.16;0.29;0.08;86.72;51.73;2.27;-524.8442292;-1927.451849;232.6024175;-1.26590311;-1.267797132;46.46770999
20;1971.4974;1450;581;69;0.02;-0.03;-0.99;-0.04;0.23;-0.1;85.55;51.73;5.66;-524.8605013;-1927.450418;232.5948924;-1.277322334;-1.2725047;46.46812264
