Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,213.03510000143433,3521.0,2530.0,-0.04,0.02,0.98,1.04,0.18,-1.53,33.36,55.38,-55.1,1418.2263612747192,-32.63941407203674,254.49484586715698,-2.1706373062150046,0.6391925445574409,-138.52507951779398
3,316.5922000007413,3536.0,2414.0,-0.04,0.02,0.98,0.92,0.18,-1.59,33.19,54.48,-56.31,1418.198823928833,-32.616984099149704,254.4756829738617,-2.162973801684987,0.6513390349289918,-138.51992557027148
4,420.22950000136916,3505.0,2445.0,-0.04,0.02,0.98,0.98,0.06,-1.59,34.25,55.56,-55.27,1418.2299375534058,-32.61900320649147,254.4851005077362,-2.1703783684122286,0.656940151039794,-138.52975387225072
5,523.6448000014207,3494.0,2462.0,-0.04,0.02,0.98,0.98,0.18,-1.65,33.19,54.84,-55.27,1418.237566947937,-32.64306113123894,254.4737160205841,-2.1666238333726797,0.651590507606317,-138.5253146147283
6,626.9963000013377,3491.0,2459.0,-0.04,0.02,0.98,0.98,0.18,-1.59,34.78,54.31,-56.14,1418.2020425796509,-32.6450914144516,254.46444749832153,-2.1624895539613256,0.6654265824638961,-138.51573317407536
7,731.6834000012022,3510.0,2554.0,-0.04,0.02,0.98,0.92,0.18,-1.59,32.3,55.74,-56.48,1418.2287454605103,-32.62300044298172,254.46972250938416,-2.169231605556149,0.6418954043307437,-138.51676157809348
8,834.3435000006139,3549.0,2688.0,-0.04,0.02,0.98,0.92,0.12,-1.53,32.83,55.2,-57.0,1418.2071685791016,-32.62343630194664,254.47016954421997,-2.1602307804659975,0.6378321030357144,-138.5206613941018
9,937.9119000004721,3493.0,2594.0,-0.04,0.02,0.98,0.85,0.12,-1.59,34.78,56.09,-55.1,1418.249011039734,-32.614193856716156,254.4645369052887,-2.187223237067367,0.7195408044605313,-138.5250004984934
10,1041.4438000007067,3516.0,2534.0,-0.01,-0.04,1.02,-2.38,0.0,136.9,43.66,43.23,-54.07,1418.1876182556152,-32.797716557979584,254.72459197044373,-1.7900190974174899,0.1840135402499181,-138.49571949517232
11,1143.4525000004214,3463.0,2569.0,-0.04,0.01,0.98,0.98,0.18,-1.59,71.52,32.69,-52.86,1417.1006679534912,-49.449533224105835,254.45422530174255,-2.1366255889134096,0.48657909566489416,-138.14806297213389
