Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,213.46939998329617,2087.0,2322.0,62.0,0.01,-0.0,-1.0,-0.28,0.35,-0.07,32.81,117.58,-26.05,-1184.7845315933228,-868.0756092071533,226.49076581001282,-0.27154994190078513,-1.2959076943624583,49.75132634329231
3,316.90410000737756,130.0,2256.0,69.0,0.01,-0.0,-1.0,-0.33,0.15,0.03,35.16,116.4,-24.92,-1184.7807168960571,-868.0713176727295,226.49143636226654,-0.2690657325443069,-1.3049534490499797,49.76568486830969
4,423.0134999961592,2090.0,2340.0,64.0,0.01,-0.0,-0.99,-0.18,-0.0,-0.07,35.16,116.4,-26.05,-1184.78262424469,-868.0736422538757,226.49802267551422,-0.274305247370781,-1.2837162990423605,49.754509984071426
5,526.9762999960221,2068.0,2389.0,62.0,0.01,-0.0,-1.0,-0.2,0.41,0.23,33.98,116.4,-24.92,-1184.7798824310303,-868.0807948112488,226.50030255317688,-0.2706478981805646,-1.2930182256746705,49.757229929420525
6,631.4156999869738,2082.0,2384.0,63.0,0.01,-0.0,-1.0,-0.22,0.29,-0.14,32.81,115.23,-24.92,-1184.7912073135376,-868.0905103683472,226.49143636226654,-0.266550507998651,-1.3035266536444208,49.75373459069846
7,736.0293999954592,2124.0,2286.0,68.0,0.01,-0.0,-1.0,-0.36,0.11,-0.13,36.33,118.75,-27.19,-1184.7809553146362,-868.0832982063293,226.50252282619476,-0.2707264361825993,-1.294157304475028,49.757354946294285
8,840.9066000021994,2129.0,2264.0,66.0,0.01,-0.01,-1.0,-0.13,0.24,-0.12,35.16,116.4,-23.79,-1184.7819089889526,-868.0940270423889,226.50277614593506,-0.2698123706428975,-1.2929410320570869,49.757301642822725
9,944.583500007866,2134.0,2319.0,62.0,-0.02,-0.01,-1.01,-3.53,5.53,2.92,23.44,82.3,-21.52,-1184.7819089889526,-868.0905103683472,226.49972140789032,-0.2720391379756118,-1.287246424617858,49.761176738152365
10,1048.9842999959365,1968.0,2208.0,69.0,-0.02,0.1,-1.04,0.92,-2.31,-1.14,33.98,81.13,-21.52,-1184.7845315933228,-868.085503578186,226.5063226222992,-0.26758046743367214,-1.2796627251302595,49.75659021339894
11,1151.2458999932278,1572.0,1991.0,68.0,0.03,0.17,-1.13,-15.51,-5.11,3.52,38.67,71.72,-10.2,-1184.7829818725586,-868.0912256240845,226.50955617427826,-0.27263825509396455,-1.2847620873496501,49.75557976992486
