Sample;Time (ms);ESP32_X;ESP32_Y;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;209.5046;2962;1852;-0.03;0.03;0.98;0.85;0.06;-1.34;61.4;68.24;-48.21;-25.05767904;-18.42243969;252.0050108;2.424010298;-0.685691161;-128.9830806
3;313.0917001;2962;1806;-0.03;0.03;0.98;0.85;-0.06;-1.28;62.11;67.17;-48.56;-25.03663488;-18.39150116;252.0292401;2.442087427;-0.628298391;-128.940647
4;416.6290001;2962;1820;-0.03;0.03;0.98;0.92;0.06;-1.4;60.52;67.7;-50.11;-25.0338316;-18.38235371;252.0339191;2.440132709;-0.614569423;-128.9383931
5;521.3520001;2962;1799;-0.03;0.03;0.98;0.85;0.12;-1.4;61.76;66.1;-48.21;-25.05443804;-18.41983385;252.0037293;2.422806535;-0.689204775;-128.9859154
6;626.1826;2962;1828;-0.03;0.03;0.98;0.98;0.06;-1.34;62.11;66.45;-49.94;-25.05582199;-18.42542551;252.0063818;2.423021399;-0.677935266;-128.9863267
7;729.6000001;2962;1816;-0.03;0.03;0.98;0.92;0.12;-1.34;61.4;67.17;-48.56;-25.0571724;-18.42050068;252.0085275;2.419483608;-0.686706051;-128.9853696
8;833.0905001;2962;1802;-0.04;0.03;0.98;0.98;0.06;-1.34;61.58;66.63;-50.11;-25.02382733;-18.38217489;252.0271838;2.440950732;-0.62120815;-128.9386094
9;936.3682001;2962;1765;0.03;0.05;0.97;2.75;-4.03;-74.22;62.65;66.63;-47.35;-25.03233962;-18.38297956;252.0277798;2.440189135;-0.613993474;-128.9440365
10;1039.9079;2962;1917;-0.07;-0.06;0.92;9.89;2.08;-6.41;64.42;80.21;-40.81;-25.07149056;-18.40467378;252.0028055;2.427979901;-0.690360989;-128.9855679
11;1142.0607;2962;2028;-0.1;-0.07;0.97;6.1;9.58;-5;44.37;65.02;-37.88;-23.80904742;-27.92901918;252.199024;2.629228291;-0.861131971;-129.1002047
12;1245.3724;2720;2100;0.11;-0.01;1.06;3.54;-9.46;0.24;32.65;74.31;-31;-22.18440175;-47.74673283;252.3254454;2.481960351;-0.808154913;-129.0886276
13;1348.4453;2280;2148;-0.14;0.06;1.1;2.44;9.09;-4.82;25.73;88.43;-36.33;-21.50997706;-74.69234616;252.317369;2.64894716;-0.805762035;-128.8642538
14;1454.2211;2022;2168;-0.04;0.03;0.98;-0.18;1.83;-1.95;61.58;119.15;-39.78;-19.75906454;-101.6974002;252.1777451;2.62344974;-0.534133856;-129.2233892
15;1557.8423;2025.5;2368;-0.04;0.03;0.98;0.85;0.06;-1.4;70.28;116.11;-49.25;-17.63297804;-133.2489252;252.7903616;2.393587743;-0.720587239;-129.5097179
16;1661.0604;2029;2468;-0.04;0.02;0.98;0.79;0.06;-1.4;83.59;113.79;-52.18;-15.80630988;-162.0580256;252.8655827;2.267674624;-0.644238438;-129.5524628
17;1764.3707;1983;2619;-0.04;0.02;0.98;0.85;0.06;-1.28;83.41;111.83;-50.63;-13.62933684;-193.6510503;253.1190813;2.364510507;-1.108623841;-129.4081009
18;1869.6103;1985;2580;-0.04;0.03;0.98;0.92;0.06;-1.4;82.88;113.08;-51.83;-12.70576194;-223.229304;253.1402111;2.398791987;-0.844426039;-129.3236934
19;1973.1431;1989;2637;-0.04;0.02;0.99;0.92;0;-1.4;85.36;112.72;-50.45;-11.09858137;-255.5891275;253.2023787;2.254632581;-0.772779608;-129.447829
20;2076.2061;1987;2629;0.05;-0.06;0.88;6.65;-11.78;-0.06;85.89;103.97;-52;-10.36350336;-285.5246365;253.1658411;2.315181675;-0.372790765;-129.5654363
21;2179.954;1991;2646;-0.07;0.13;1.14;-0.55;12.82;0.06;86.25;103.97;-53.73;-8.519759402;-317.6296055;252.9360056;2.380388918;-0.747365529;-129.8593938
22;2958.4708;1958;2997;0.11;-0.02;1.23;1.1;2.32;-6.77;90.69;108.79;-69.05;-1.399173285;-549.2439866;252.7860105;2.555204236;-0.542851995;-131.3537417
23;3062.9403;1959;3029;-0.13;0.04;0.83;5.19;-1.83;-3.91;90.33;107;-72.84;0.053211465;-579.2766213;253.0544996;2.201605728;-0.699346367;-131.4731944
24;3166.7536;1968;3011;0.11;-0.01;1.29;-6.9;0.12;0.31;91.22;106.11;-78.18;1.085326076;-611.7280126;253.0806959;2.065725946;-0.856523682;-131.6640198
25;3317.2371;1971;3046;0;0.01;1.21;-2.56;10.93;-2.26;91.57;95.04;-84.38;0.005836016;-656.542182;252.9444098;2.433573489;-0.470755142;-131.6092337
26;3420.6302;1959;3058;-0.18;0.01;0.97;-1.16;-0.85;-1.65;91.04;88.43;-82.48;0.917907921;-686.7089868;252.8907657;2.303017489;-0.615555295;-131.9186506
27;3523.886;1955;3111;0.03;-0.1;0.97;-8.3;-4.15;1.28;92.64;82.53;-83;1.251061796;-719.3670273;252.677381;2.499714684;-0.774222774;-132.0715237
28;3629.3963;1952;3163;0;0.09;0.92;4.09;-5.43;-5.68;92.99;75.39;-77.83;1.554155257;-749.4948506;252.6475787;2.224770346;-0.808815742;-132.1936109
29;3829.2712;1963;3235;-0.09;0.06;0.88;7.39;-3.72;-2.56;91.4;69.85;-70.08;2.512783511;-811.0137582;252.8884411;2.125470332;-0.895470123;-132.5425476
30;3932.7793;1959;3261;0;0.04;1.06;-0.37;5.92;-2.14;92.46;69.49;-67.33;2.102011815;-840.8129215;253.0267537;2.334035273;-0.903885994;-132.4353465
31;4138.1389;1922;3383;0.03;0.05;0.92;-9.52;-4.46;0.49;91.22;69.67;-60.61;2.142902697;-902.5787711;253.0591786;2.405464608;-1.094750282;-132.540274
32;4240.874;1928;3384;-0.13;0.13;1.01;0.98;5.62;-0.92;92.11;70.2;-61.82;1.589128515;-932.1430922;252.982825;2.448052702;-0.838929229;-132.6715353
