Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,205.66710003186017,435.0,4000.0,-0.04,0.03,0.98,0.85,0.18,-1.4,81.28,63.24,-43.05,1434.8703622817993,-1460.4300260543823,262.76156306266785,2.002142639051257,0.5227589462581903,53.526458415130364
3,307.9709999728948,433.0,4007.0,-0.04,0.03,0.99,0.85,0.18,-1.4,81.1,62.7,-40.81,1434.575915336609,-1460.3281021118164,262.8590762615204,1.8731331939042561,0.6767619222659831,53.40355087117939
4,410.4728000238538,387.0,3985.0,-0.04,0.03,0.99,0.85,0.18,-1.34,78.97,61.27,-42.19,1434.8390102386475,-1460.4411125183105,262.7582550048828,2.007013779613265,0.49384274471673767,53.51738687927078
5,513.416999951005,499.0,4090.0,-0.04,0.03,0.99,0.85,0.18,-1.4,79.86,62.17,-42.36,1434.8487854003906,-1460.4337215423584,262.77050375938416,2.0155614387770013,0.5238331295064338,53.52354614902332
6,616.4726000279188,468.0,4071.0,-0.04,0.03,0.99,0.79,0.12,-1.4,78.97,61.99,-42.88,1434.8704814910889,-1460.4400396347046,262.7580761909485,2.0157918750055175,0.4964401627011629,53.53973731223141
7,720.2402999391779,405.0,4013.0,-0.04,0.03,0.99,0.85,0.12,-1.4,80.04,62.7,-42.53,1434.572458267212,-1460.3432416915894,262.9050314426422,1.8751389344080538,0.680474361273107,53.39684246378106
8,824.3112999480218,441.0,4033.0,-0.04,0.03,0.99,0.73,0.18,-1.34,80.04,64.13,-41.5,1434.8487854003906,-1460.4225158691406,262.77419924736023,2.0043870858156345,0.4977687988709493,53.528236702539985
9,927.7475000126287,423.0,4024.0,-0.04,0.03,0.99,0.79,0.18,-1.34,80.75,62.7,-43.22,1434.8673820495605,-1460.428237915039,262.7583146095276,2.001086486554236,0.5116211641069337,53.51569070541082
10,1031.2109999358654,460.0,4041.0,-0.04,0.03,0.99,0.85,0.18,-1.4,80.21,61.81,-41.67,1434.859037399292,-1460.4370594024658,262.7512812614441,2.027314578103645,0.49305477147520776,53.523821207636885
11,1134.2849999200553,416.0,3983.0,-0.04,0.03,0.99,0.85,0.24,-1.34,79.15,63.6,-41.67,1434.8526000976562,-1460.4452848434448,262.7650201320648,2.0022117594090907,0.5133511967457801,53.53380688483821
12,1238.1688000168651,449.0,4053.0,-0.04,0.03,0.99,0.73,0.18,-1.4,80.21,63.95,-42.36,1434.5860481262207,-1460.3573083877563,262.86619901657104,1.8879254513555637,0.6982147816158958,53.39223185474754
13,1342.0949999708682,374.0,3943.0,-0.04,0.03,0.99,0.79,0.18,-1.34,81.81,62.34,-41.84,1434.8666667938232,-1460.433006286621,262.7653777599335,2.007751700102114,0.5252339764509372,53.51590097077601
14,1445.9209999768063,445.0,4060.0,-0.03,0.03,0.99,0.79,0.18,-1.4,79.68,61.63,-42.88,1434.8645210266113,-1460.409164428711,262.78507709503174,2.0242240474278526,0.46157839391400407,53.52479440949213
15,1549.542099935934,481.0,4031.0,-0.04,0.03,0.99,0.73,0.24,-1.4,80.39,61.99,-41.15,1434.8607063293457,-1460.4406356811523,262.7463936805725,2.0096632004865267,0.5035391647345095,53.531197970966986
16,1653.1166000058874,376.0,3961.0,-0.04,0.03,0.99,0.85,0.06,-1.46,79.86,60.74,-42.02,1434.8615407943726,-1460.4274034500122,262.7669870853424,2.0199536527721236,0.4881620518405108,53.53033764535469
17,1756.9120000116527,463.0,4051.0,-0.04,0.03,0.99,0.85,0.18,-1.4,79.86,61.81,-42.02,1434.8469972610474,-1460.4461193084717,262.75548338890076,2.020669219527183,0.48825872060027,53.528767276389615
18,1860.5420999228954,408.0,3987.0,-0.03,0.03,0.99,0.92,0.18,-1.4,79.86,62.52,-41.33,1434.8691701889038,-1460.431694984436,262.7558708190918,2.001178936648624,0.5056690050368975,53.52723875714401
19,1964.1153999837115,411.0,4018.0,-0.04,0.03,0.98,0.79,0.24,-1.34,79.51,62.17,-40.98,1434.5481395721436,-1460.3514671325684,262.8996968269348,1.876826761070017,0.65334336146318,53.38952768741971
20,2067.5737999845296,453.0,4044.0,-0.04,0.03,0.99,0.79,0.06,-1.4,80.04,59.84,-42.53,1434.8385334014893,-1460.4240655899048,262.77512311935425,2.0173896014146617,0.49783932540956943,53.52305762210544
21,2169.5229000179097,491.0,4083.0,-0.04,0.03,0.99,0.79,0.12,-1.46,81.46,60.92,-42.88,1434.873342514038,-1460.4285955429077,262.7484202384949,2.0235608566672894,0.4668587298772797,53.521897489258244
22,2270.8698000060394,384.0,3978.0,-0.04,0.02,0.99,0.73,0.24,-1.53,80.92,62.17,-42.02,1434.5802068710327,-1460.363268852234,262.8844380378723,1.8749398190174782,0.7007824431324935,53.40091013487812
23,2372.3989999853075,444.0,3997.0,-0.04,0.03,0.99,0.79,0.18,-1.34,80.92,62.52,-42.36,1434.8653554916382,-1460.4475498199463,262.755811214447,2.01233873618147,0.49482611795231635,53.52594563579535
24,2475.626499974169,451.0,4046.0,-0.04,0.03,0.99,0.79,0.12,-1.4,80.21,62.17,-42.7,1434.8359107971191,-1460.4220390319824,262.76054978370667,2.022293759078713,0.49157869997542364,53.53268255787991
25,2579.3758999789134,429.0,4035.0,-0.03,0.03,0.99,0.85,0.18,-1.34,80.21,59.67,-36.85,1434.5725774765015,-1460.352063179016,262.8798484802246,1.8787837733065564,0.6891705941224028,53.38425032498492
26,2682.9435999970883,538.0,3993.0,-0.03,0.02,0.99,0.79,0.06,-1.46,70.28,73.96,-42.02,1434.8591566085815,-1460.433006286621,262.7732455730438,2.0126878663537218,0.5260347937718668,53.52405067241462
27,2785.4939999524504,512.0,4031.0,-0.03,0.03,0.99,0.85,0.12,-1.46,69.92,73.24,-42.36,1434.85689163208,-1460.432529449463,262.766033411026,2.0100512186662214,0.5163373857965797,53.525397792282426
28,2888.926299987361,522.0,4015.0,-0.03,0.03,0.99,0.79,0.12,-1.4,70.1,75.21,-43.22,1434.861183166504,-1460.4318141937256,262.76397705078125,2.0246455602505082,0.48088551869738927,53.50843760187327
29,2992.502099950798,490.0,4022.0,-0.03,0.03,0.99,0.73,0.12,-1.4,67.97,73.06,-41.5,1434.8902702331543,-1460.465431213379,262.72180676460266,2.01700323585225,0.5215279578236686,53.528970162176606
30,3096.182500012219,515.0,4032.0,-0.03,0.03,0.99,0.79,0.24,-1.4,70.1,75.21,-43.91,1434.8846673965454,-1460.5015516281128,262.76475191116333,2.000281655270149,0.4773899640041945,53.53448060162547
31,3199.4720000075176,503.0,4034.0,-0.03,0.03,0.99,0.79,0.12,-1.4,68.86,74.31,-42.02,1433.0958127975464,-1447.7537870407104,263.0439102649689,1.824702404099438,0.5813995766645506,53.2646365403755
32,3302.9480000259355,502.0,4068.0,-0.03,0.03,0.99,0.73,0.12,-1.4,68.68,73.78,-42.88,1431.6831827163696,-1427.9510974884033,263.2136940956116,1.9089609463560933,0.6469025276876552,53.44811111949401
33,3406.659599975683,485.0,4070.0,-0.03,0.03,0.99,0.79,0.18,-1.4,67.44,74.67,-40.98,1429.95285987854,-1401.4627933502197,263.0058228969574,1.8628554896857992,0.7647420765255877,53.48781973722697
34,3510.341399931349,523.0,4100.0,-0.03,0.03,0.99,0.85,0.06,-1.4,68.5,74.31,-42.36,1428.834319114685,-1387.378454208374,262.9546821117401,1.818916964155117,0.9043878211182887,53.311934275436684
35,3613.8265000190586,506.0,4036.0,-0.03,0.03,0.99,0.73,0.12,-1.34,69.57,75.74,-43.39,1428.2894134521484,-1385.2348327636719,263.0184292793274,1.6931262676641325,0.8528092814194701,53.37105155344942
36,3717.3369999509305,508.0,4035.0,-0.03,0.03,0.99,0.79,0.06,-1.46,70.63,75.03,-43.05,1428.3910989761353,-1385.5417966842651,263.0292773246765,1.7222764651582552,0.8346511057563257,53.37085225308154
37,3821.2517999345437,513.0,4087.0,-0.03,0.03,0.99,0.85,0.12,-1.4,69.92,76.1,-42.02,1428.4045696258545,-1385.5574131011963,263.01372051239014,1.7258107921144747,0.7965874873065558,53.37658808727003
38,3925.002299947664,536.0,4036.0,-0.03,0.03,0.99,0.67,0.18,-1.4,71.34,73.6,-43.39,1428.3922910690308,-1385.5443000793457,263.00984621047974,1.7131424755400997,0.8303176232530635,53.37699190592115
39,4028.675699955784,497.0,4057.0,-0.03,0.03,0.99,0.73,0.18,-1.4,67.97,73.42,-43.22,1428.4080266952515,-1385.5702877044678,262.97974586486816,1.7185347592859703,0.8593137860072356,53.36909799288708
40,4132.067999918945,504.0,4021.0,-0.03,0.03,0.99,0.85,0.12,-1.46,67.79,73.24,-43.74,1428.4147024154663,-1385.575294494629,262.99747824668884,1.723210342699773,0.934586055749315,53.37387968649513
41,4235.099199926481,503.0,4049.0,-0.03,0.03,0.99,0.85,0.06,-1.4,68.15,75.74,-42.36,1428.4038543701172,-1385.572910308838,262.99747824668884,1.7242348584470188,0.8829741994654198,53.37369950984884
42,4339.10909993574,511.0,4039.0,-0.03,0.03,0.99,0.79,0.06,-1.34,68.68,73.42,-42.88,1428.430438041687,-1385.5764865875244,262.99163699150085,1.7364222445576,0.8480700149257273,53.374732353812796
43,4443.057899945416,508.0,4068.0,-0.03,0.03,0.99,0.85,0.31,-1.22,67.97,74.49,-45.63,1428.398847579956,-1385.5910301208496,262.98025250434875,1.7186012603920868,0.8747764021826765,53.37705413888436
44,4546.469699940644,508.0,3986.0,-0.03,0.03,0.99,0.79,0.18,-1.46,67.08,75.03,-42.02,1428.3934831619263,-1385.5764865875244,263.0003094673157,1.7270288726064313,0.8206475533260219,53.37523455712271
45,4649.151499965228,509.0,4079.0,-0.03,0.02,0.99,0.79,0.12,-1.46,65.66,75.03,-45.12,1428.4248352050781,-1385.5869770050049,262.98990845680237,1.732001492042715,0.8980028662190437,53.36799781307968
