1116.824: started location data observation of C6:8E:82:5A:0A:06
1116.906: 0xâ€¦D31C location data: position: x=899 y=-55 z=1230 q=56; distances: D286 distance=Distance{length=667, quality=100}, 151A distance=Distance{length=4891, quality=100}, 57B0 distance=Distance{length=4155, quality=100}, 47B2 distance=Distance{length=5621, quality=100}
1117.008: 0xâ€¦D31C location data: position: x=643 y=226 z=1207 q=72; distances: D286 distance=Distance{length=639, quality=100}, 151A distance=Distance{length=4844, quality=100}, 57B0 distance=Distance{length=4215, quality=100}, 47B2 distance=Distance{length=5649, quality=100}
1117.108: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=573, quality=100}, 57B0 distance=Distance{length=4206, quality=100}, 151A distance=Distance{length=4848, quality=100}, 47B2 distance=Distance{length=5541, quality=100}
1117.206: 0xâ€¦D31C location data: position: x=460 y=436 z=1234 q=72; distances: D286 distance=Distance{length=587, quality=100}, 57B0 distance=Distance{length=4220, quality=100}, 47B2 distance=Distance{length=5616, quality=100}, 151A distance=Distance{length=4801, quality=100}
1117.308: 0xâ€¦D31C location data: position: x=595 y=256 z=1250 q=58; distances: D286 distance=Distance{length=559, quality=100}, 57B0 distance=Distance{length=4197, quality=100}, 151A distance=Distance{length=4834, quality=100}, 47B2 distance=Distance{length=5654, quality=100}
1117.408: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=620, quality=100}, 57B0 distance=Distance{length=4188, quality=100}, 151A distance=Distance{length=4830, quality=100}, 47B2 distance=Distance{length=5551, quality=100}
1117.508: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=624, quality=100}, 57B0 distance=Distance{length=4262, quality=100}, 47B2 distance=Distance{length=5588, quality=100}, 151A distance=Distance{length=4787, quality=100}
1117.609: 0xâ€¦D31C location data: position: x=699 y=118 z=1210 q=58; distances: D286 distance=Distance{length=629, quality=100}, 57B0 distance=Distance{length=4220, quality=100}, 47B2 distance=Distance{length=5663, quality=100}, 151A distance=Distance{length=4830, quality=100}
1117.709: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=559, quality=100}, 57B0 distance=Distance{length=4220, quality=100}, 151A distance=Distance{length=4872, quality=100}, 47B2 distance=Distance{length=5565, quality=100}
1117.808: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=568, quality=100}, 57B0 distance=Distance{length=4183, quality=100}, 47B2 distance=Distance{length=5607, quality=100}, 151A distance=Distance{length=4891, quality=100}
1117.907: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=624, quality=100}, 57B0 distance=Distance{length=4248, quality=100}, 47B2 distance=Distance{length=5555, quality=100}, 151A distance=Distance{length=4848, quality=100}
