Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.98429999582004,631.0,989.0,70.0,0.02,-0.03,-1.0,-0.34,0.53,0.32,70.31,9.41,-12.46,-416.6804254055023,-1431.1007261276245,229.77851331233978,-1.1855978318800344,-1.3702772358541382,41.660867777476916
3,205.41409999714233,662.0,1041.0,77.0,0.02,-0.03,-0.99,-0.16,0.29,-0.04,69.14,9.41,-13.59,-416.69774055480957,-1431.100606918335,229.77571189403534,-1.1865205118438773,-1.3700775850038056,41.661998602265186
4,308.73190000420436,645.0,1032.0,67.0,0.02,-0.03,-1.0,-0.16,0.17,0.08,72.66,10.58,-13.59,-416.6763722896576,-1431.088924407959,229.79052364826202,-1.191122800545286,-1.3602687229067882,41.66133624675488
5,411.6987000015797,618.0,1012.0,58.0,0.02,-0.03,-1.0,-0.28,0.11,0.08,71.48,11.76,-12.46,-416.69154167175293,-1431.1047792434692,229.77742552757263,-1.1810711089863057,-1.3674022912916937,41.66060644295002
6,514.9437000072794,664.0,1029.0,65.0,0.02,-0.02,-0.99,-0.22,0.23,0.08,71.48,10.58,-12.46,-416.69097542762756,-1431.0905933380127,229.77928817272186,-1.196924636571625,-1.3673384758406664,41.65902754222975
7,619.4637000007788,624.0,1019.0,65.0,0.01,-0.03,-1.0,-0.28,0.11,-0.1,70.31,11.76,-13.59,-416.6693985462189,-1431.0877323150635,229.7784835100174,-1.1877581874751244,-1.3441900106358127,41.656635927044114
8,723.2923999981722,625.0,1004.0,57.0,0.02,-0.03,-1.01,-0.28,0.17,0.26,70.31,12.93,-10.2,-416.69002175331116,-1431.086540222168,229.78490591049194,-1.19143770067226,-1.3486101897488822,41.659943837175014
9,827.0027999969898,890.0,972.0,83.0,0.15,-0.02,-0.89,17.42,17.13,25.78,85.55,50.56,-11.33,-416.67109727859497,-1431.0901165008545,229.77757453918457,-1.1803046128743264,-1.3524767777536872,41.658794326080226
10,931.3738000055309,1545.0,1085.0,86.0,0.17,-0.14,-0.96,-44.96,0.72,-7.3,64.45,62.32,-7.93,-416.67523980140686,-1431.0996532440186,229.77912425994873,-1.1799522913192872,-1.3335095633283927,41.664432175424416
11,1035.168500005966,1543.0,1108.0,91.0,0.02,-0.03,-1.0,-0.04,0.23,0.14,70.31,61.14,-4.53,-416.6822135448456,-1431.087613105774,229.7729104757309,-1.1841150571502999,-1.3538762501563497,41.662113418903324
12,1136.9250999996439,1569.0,1130.0,94.0,0.02,-0.03,-1.0,-0.22,0.04,0.02,69.14,61.14,-1.13,-416.653573513031,-1431.099772453308,229.77788746356964,-1.1833616157861993,-1.3202248126398215,41.661427355477436
13,2189.0764999989187,1584.0,1137.0,97.0,0.02,-0.03,-1.0,-0.34,0.11,-0.1,67.97,62.32,-5.66,-416.6485667228699,-1431.0975074768066,229.76504266262054,-1.1835137360972794,-1.322908414997245,41.66171554176045
14,2291.650600003777,1577.0,1143.0,86.0,0.02,-0.03,-1.0,-0.04,0.23,0.08,67.97,61.14,-5.66,-416.6618883609772,-1431.0977458953857,229.77173328399658,-1.168685331340194,-1.3478238299708916,41.66103074061529
15,2411.6317000007257,1579.0,1125.0,87.0,0.02,-0.03,-1.0,-0.22,0.29,-0.16,67.97,62.32,-4.53,-416.6560471057892,-1431.0944080352783,229.7731190919876,-1.1723854115198982,-1.3427901964351219,41.659939881188386
16,2516.44330000272,1580.0,1136.0,88.0,0.02,-0.03,-1.0,-0.1,0.23,0.14,66.8,59.96,-2.27,-416.6607856750488,-1431.1001300811768,229.7639399766922,-1.1730698491899874,-1.3263592480192996,41.65623897701851
17,2620.661499997368,1585.0,1133.0,84.0,0.02,-0.03,-1.0,0.21,0.04,0.08,65.62,62.32,-5.66,-416.65521264076233,-1431.1058521270752,229.77347671985626,-1.1751712689882754,-1.3563875088716617,41.66001929948073
18,2724.0853999974206,1576.0,1147.0,90.0,0.02,-0.03,-1.0,0.02,0.35,-0.1,67.97,59.96,-4.53,-416.6458249092102,-1431.100845336914,229.77635264396667,-1.1780438452726405,-1.2990764399798307,41.65818604298975
19,2827.405000003637,1570.0,1137.0,86.0,0.01,-0.03,-0.99,-0.1,0.04,0.32,70.31,62.32,-4.53,-416.65151715278625,-1431.1010837554932,229.76496815681458,-1.171133739525421,-1.318264351559992,41.666600618268255
20,2929.807200009236,1563.0,1123.0,86.0,0.02,-0.03,-1.0,-0.04,0.23,0.2,67.97,61.14,-3.4,-416.6443645954132,-1431.1060905456543,229.7639101743698,-1.1725416200215757,-1.3254011365353402,41.66106142879857
21,3033.4930999961216,1569.0,1126.0,97.0,0.02,-0.03,-1.0,0.09,0.29,0.08,67.97,61.14,-3.4,-416.6406989097595,-1431.0919046401978,229.77317869663239,-1.174593246879488,-1.3238943930088256,41.65945466573292
22,3161.2938000034774,1559.0,1162.0,95.0,0.02,-0.03,-1.0,-0.04,0.35,0.26,69.14,61.14,-3.4,-416.65714979171753,-1431.1012029647827,229.76654767990112,-1.1763443718211715,-1.3100735965669765,41.65912985519667
23,3265.140400006203,1567.0,1138.0,96.0,0.02,-0.03,-1.0,-0.16,0.04,-0.04,67.97,62.32,-4.53,-416.6472852230072,-1431.1023950576782,229.7661006450653,-1.1700140611219567,-1.3147081234632259,41.65978535717975
24,3368.6134000017773,1570.0,1132.0,92.0,0.02,-0.03,-1.0,-0.4,0.17,-0.04,69.14,59.96,-3.4,-416.6463315486908,-1431.0998916625977,229.7574132680893,-1.1745880616444726,-1.3137299056555172,41.65921476253611
25,3472.2959000064293,1566.0,1136.0,84.0,0.02,-0.03,-1.0,-0.1,0.29,0.14,69.14,62.32,-4.53,-416.62970185279846,-1431.1004877090454,229.7438234090805,-1.1750946111111031,-1.254212292160949,41.65027305250351
26,3575.6707999971695,1566.0,1126.0,86.0,0.02,-0.03,-1.0,-0.16,0.35,-0.22,69.14,62.32,-4.53,-416.6409373283386,-1431.0985803604126,229.76122796535492,-1.1738202707314054,-1.3105493577615803,41.665599534613854
27,3679.6529999992345,1563.0,1149.0,93.0,0.02,-0.03,-1.0,-0.1,0.35,0.02,66.8,63.49,-5.66,-416.6519045829773,-1431.1070442199707,229.76095974445343,-1.1703209336767868,-1.3229553130740628,41.65802927847783
28,3783.3741000067675,1564.0,1186.0,95.0,0.02,-0.03,-1.0,0.02,0.17,0.14,67.97,61.14,-5.66,-416.6273772716522,-1431.0983419418335,229.77277636528015,-1.1724725031094239,-1.323724172424778,41.65531934376585
29,3886.8403999949805,1567.0,1219.0,91.0,0.02,-0.03,-1.0,-0.34,0.23,-0.04,66.8,63.49,-5.66,-416.64421558380127,-1431.09929561615,229.77793216705322,-1.1729419860440224,-1.3122896681990255,41.656284487757546
30,3990.5639000062365,1554.0,1177.0,86.0,0.02,-0.03,-1.0,-0.16,0.17,-0.04,69.14,61.14,-5.66,-416.6572391986847,-1431.1025142669678,229.76095974445343,-1.171072685897943,-1.306465013383152,41.660204277790825
31,4094.641000003321,1550.0,1144.0,88.0,0.02,-0.03,-1.0,-0.16,0.35,0.08,69.14,61.14,-5.66,-416.62630438804626,-1431.096911430359,229.74856197834015,-1.1811130804904884,-1.2126131884585523,41.65153919515458
32,4199.212999999872,1551.0,1168.0,95.0,0.02,-0.03,-1.0,-0.34,0.35,0.08,66.8,62.32,-3.4,-416.6424870491028,-1431.0916662216187,229.77136075496674,-1.1737694828585867,-1.3103517981474,41.66160524809441
33,4302.912700004526,1558.0,1149.0,86.0,0.02,-0.03,-1.0,-0.22,0.29,0.08,67.97,62.32,-3.4,-416.6455864906311,-1431.1026334762573,229.75197434425354,-1.1680016315530466,-1.308819447589184,41.658705946097
34,4406.647099996917,1540.0,1168.0,94.0,0.02,-0.03,-1.0,-0.22,0.23,-0.04,67.97,61.14,-5.66,-416.6489839553833,-1431.105375289917,229.75942492485046,-1.1705021013427823,-1.3147423505719675,41.65821419318627
