Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,227.15300001436844,434.0,3545.0,55.0,-0.0,0.01,-1.0,-0.44,-0.07,-0.05,84.37,55.26,-28.32,-1265.5160427093506,1481.0181856155396,224.99996423721313,0.7428701434866363,-0.760099283991385,31.623604257400814
3,2314.6505000186153,433.0,3483.0,57.0,-0.0,0.01,-1.0,-0.33,0.13,-0.16,82.03,55.26,-29.45,-1265.5160427093506,1481.0181856155396,224.99996423721313,0.7428701434866363,-0.760099283991385,31.623604257400814
4,2418.7949000042863,452.0,3578.0,51.0,0.0,0.0,-1.0,-0.07,0.3,-0.13,78.52,55.26,-29.45,-1237.7182245254517,1579.2595148086548,224.97613728046417,0.2014347888087329,-1.486538173184122,30.658292975458064
5,2523.955000011483,413.0,3532.0,60.0,-0.0,0.0,-1.0,-0.15,0.14,-0.03,82.03,56.44,-28.32,-1226.0994911193848,1611.1918687820435,224.95350241661072,0.44036395985380533,-1.0633602658670447,30.732172977289913
6,2627.936300006695,472.0,3542.0,57.0,-0.0,0.0,-1.0,-0.1,0.13,-0.03,83.2,56.44,-27.19,-1217.1300649642944,1642.0105695724487,224.9094396829605,0.8080959003605876,-2.314094888090935,29.860858579182203
7,3337.0346000010613,538.0,3810.0,62.0,0.17,0.11,-1.08,-7.82,-4.34,1.9,84.37,47.03,-21.52,-1137.9176378250122,1866.2583827972412,225.40827095508575,0.6011458118137374,-0.8088406754845725,27.86105722153752
8,3440.8146000059787,555.0,3921.0,63.0,0.02,-0.15,-1.08,14.77,-11.08,2.16,92.58,39.98,-12.46,-1127.6603937149048,1897.3475694656372,225.2739518880844,0.3062539101418743,-1.1835000517231307,27.163613279989416
9,4389.688600000227,793.0,4371.0,58.0,-0.01,0.0,-1.0,-0.31,-0.15,-0.16,93.75,43.5,-3.4,-1101.5560626983643,1966.5244817733765,224.89750385284424,0.0826989615017293,-1.76782986244462,26.43601533708507
10,4493.504300015047,789.0,4402.0,58.0,-0.0,0.0,-1.0,-0.15,0.25,-0.06,92.58,45.86,-4.53,-1101.5863418579102,1966.5517807006836,224.9133139848709,0.10885896234246209,-1.7003310653925514,26.43120630601868
11,5386.590300011449,792.0,4362.0,61.0,-0.0,-0.0,-1.0,-0.13,-0.11,0.16,91.41,47.03,-3.4,-1101.7905473709106,1966.4252996444702,224.76722300052643,0.21379240786354334,-1.9542419704866978,26.191119861083067
12,6335.272399999667,789.0,4380.0,54.0,-0.0,0.0,-1.0,-0.26,0.2,-0.19,91.41,45.86,-3.4,-1101.6019582748413,1966.5398597717285,224.8590886592865,0.08775361059146505,-1.7941178374647841,26.44278874205247
13,6439.349499996752,779.0,4388.0,53.0,-0.0,0.0,-1.0,-0.33,0.03,-0.02,91.41,48.21,-4.53,-1101.8524169921875,1966.456651687622,224.7169017791748,0.22612649950376493,-1.8957792328132992,26.176434035103117
14,6548.688200011384,757.0,4422.0,56.0,0.0,0.0,-1.01,-0.52,0.17,-0.09,91.41,44.68,-2.27,-1101.7624139785767,1966.412901878357,224.79474544525146,0.12152526944537186,-1.840042237494684,26.247047039346253
15,6653.295600001002,760.0,4417.0,63.0,-0.0,0.0,-1.0,-0.22,0.01,0.02,94.92,44.68,-4.53,-1101.810097694397,1966.4454460144043,224.76792335510254,0.204962653798715,-1.9133069257354436,26.18405810738095
16,8884.79440001538,815.0,4401.0,63.0,-0.0,0.0,-1.0,-0.24,0.17,-0.01,92.58,43.5,-3.4,-1101.587176322937,1966.5255546569824,224.8605191707611,0.08189514355031977,-1.7726821816901048,26.447700308467013
17,8989.32690001675,789.0,4344.0,60.0,0.0,0.0,-1.01,-0.1,0.37,-0.1,91.41,44.68,-2.27,-1101.6275882720947,1966.524362564087,224.86653923988342,0.08659691989577122,-1.8165009628107125,26.45120579869256
18,9091.842699999688,785.0,4354.0,62.0,0.0,0.0,-1.0,-0.2,0.04,-0.07,91.41,44.68,-2.27,-1101.6089916229248,1966.5127992630005,224.8830646276474,0.08634109118312007,-1.79731991205819,26.44223329732608
19,9275.300600012997,785.0,4400.0,58.0,-0.0,0.0,-1.0,-0.1,0.02,0.26,91.41,47.03,-3.4,-1101.6148328781128,1966.5452241897583,224.84196722507477,0.09362329025811084,-1.797093975026596,26.442194991716786
20,9986.551500012865,792.0,4385.0,55.0,0.0,0.0,-1.0,-0.16,0.18,-0.12,91.41,45.86,-5.66,-1101.790428161621,1966.379165649414,224.76448118686676,0.21438591924618924,-1.9299196969461732,26.183252529106387
21,10295.570000016596,807.0,4408.0,54.0,-0.0,0.0,-1.0,0.07,0.23,0.03,92.58,44.68,-1.13,-1101.723313331604,1966.3896560668945,224.79762136936188,0.144701403378103,-1.8350158177910205,26.243318381053395
22,10400.237699999707,808.0,4413.0,55.0,0.0,0.0,-1.01,-0.16,-0.03,0.05,91.41,44.68,-3.4,-1101.805567741394,1966.3963317871094,224.74607825279236,0.21454707689526364,-1.9285184139664295,26.172422598150717
23,10504.491500003496,807.0,4442.0,70.0,-0.0,0.0,-1.0,-0.34,-0.13,-0.16,91.41,44.68,-3.4,-1101.6019582748413,1966.5144681930542,224.88564252853394,0.09934598023046577,-1.7893056217543224,26.4329761794897
