x,y,ax,ay,az,gx,gy,gz,mx,my,mz
0.0,0.0,-0.02,0.02,0.97,0.31,0.12,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.24,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.18,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.01,0.97,0.24,0.18,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.18,-0.61,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.24,-0.37,0.0,0.0,0.0
0.0,0.0,-0.02,0.01,0.97,0.37,0.18,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.37,0.12,-0.49,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.37,0.24,-0.43,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.18,-0.37,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.24,0.18,-0.49,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.31,0.18,-0.49,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.97,0.12,0.24,-0.49,0.0,0.0,0.0
0.0,0.0,-0.02,0.01,0.98,0.18,0.31,-0.43,0.0,0.0,0.0
0.0,0.0,-0.09,0.02,1.01,-0.24,3.17,-1.65,0.0,0.0,0.0
0.0,0.0,-0.15,0.08,0.91,-3.05,1.53,-7.69,0.0,0.0,0.0
0.0,0.0,-0.1,-0.01,0.97,0.12,2.69,0.61,0.0,0.0,0.0
0.0,0.0,-0.02,0.01,0.97,0.85,0.18,0.43,0.0,0.0,0.0
0.0,0.0,-0.01,0.0,0.91,6.53,8.61,-2.14,0.0,0.0,0.0
0.0,0.0,0.12,-0.01,0.73,4.94,2.56,-6.23,0.0,0.0,0.0
0.0,0.0,-0.32,0.05,1.23,-5.86,38.15,-3.66,0.0,0.0,0.0
0.0,0.0,-0.18,0.02,0.94,-15.26,28.81,-11.35,0.0,0.0,0.0
0.0,0.0,0.19,0.01,0.58,-0.24,22.83,-5.86,0.0,0.0,0.0
0.0,0.0,0.3,0.11,0.73,17.21,-1.95,-14.53,0.0,0.0,0.0
0.0,0.0,0.19,-0.06,0.99,-4.82,-17.15,-20.81,0.0,0.0,0.0
0.0,0.0,-0.11,0.06,1.1,-5.19,-10.25,-24.72,0.0,0.0,0.0
0.0,0.0,-0.18,-0.08,0.78,-5.13,7.02,-18.07,0.0,0.0,0.0
0.0,0.0,-0.03,-0.04,0.91,7.02,15.99,-18.74,0.0,0.0,0.0
0.0,0.0,-0.04,-0.03,1.28,-14.59,0.55,-42.97,0.0,0.0,0.0
0.0,0.0,-0.25,-0.06,0.96,0.73,-5.55,-45.53,0.0,0.0,0.0
0.0,0.0,-0.4,-0.03,0.95,-2.87,8.42,-52.25,0.0,0.0,0.0
0.0,0.0,-0.29,-0.15,1.37,-12.76,20.02,-50.78,0.0,0.0,0.0
0.0,0.0,-0.34,-0.03,1.14,5.37,-1.16,-49.13,0.0,0.0,0.0
0.0,0.0,-0.3,-0.01,0.96,-3.48,21.12,-54.99,0.0,0.0,0.0
0.0,0.0,0.17,0.32,1.16,10.19,1.71,-52.19,0.0,0.0,0.0
0.0,0.0,0.22,-0.19,0.77,-12.33,-16.54,-51.88,0.0,0.0,0.0
0.0,0.0,-0.01,0.08,1.28,4.7,-9.03,-48.22,0.0,0.0,0.0
0.0,0.0,-0.17,0.08,0.76,-4.52,16.85,-58.59,0.0,0.0,0.0
0.0,0.0,0.04,0.07,0.87,19.29,7.02,-56.46,0.0,0.0,0.0
0.0,0.0,0.29,0.03,0.62,-8.06,-2.2,-33.75,0.0,0.0,0.0
0.0,0.0,0.52,0.21,1.18,16.36,-37.6,-16.11,0.0,0.0,0.0
0.0,0.0,-0.08,-0.05,0.99,-0.06,-12.82,-9.34,0.0,0.0,0.0
0.0,0.0,-0.04,-0.0,0.99,9.58,2.44,-5.25,0.0,0.0,0.0
0.0,0.0,0.03,0.01,1.16,-9.83,-6.1,-17.88,0.0,0.0,0.0
0.0,0.0,-0.09,0.11,0.93,11.29,2.75,-14.22,0.0,0.0,0.0
0.0,0.0,-0.02,-0.0,1.12,-0.49,1.1,-18.13,0.0,0.0,0.0
